symbol,name,market,sector,industry,theme,note
1444.T,ニッソウ,JP,建設業,建設・資材,建設業,グロース（内国株式）
1446.T,キャンディル,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1447.T,ＳＡＡＦホールディングス,JP,建設業,建設・資材,建設業,グロース（内国株式）
1450.T,ＴＡＮＡＫＥＮ,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
145A.T,Ｌ ｉｓ Ｂ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
146A.T,コロンビア・ワークス,JP,不動産業,不動産,不動産業,スタンダード（内国株式）
147A.T,ソラコム,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
148A.T,ハッチ・ワーク,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
1491.T,中外鉱業,JP,非鉄金属,鉄鋼・非鉄,非鉄金属,スタンダード（内国株式）
149A.T,シンカ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
150A.T,ＪＳＨ,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
1514.T,住石ホールディングス,JP,鉱業,エネルギー資源,鉱業,スタンダード（内国株式）
1515.T,日鉄鉱業,JP,鉱業,エネルギー資源,鉱業,プライム（内国株式）
1518.T,三井松島ホールディングス,JP,その他製品,情報通信・サービスその他,その他製品,プライム（内国株式）
151A.T,ダイブ,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
153A.T,カウリス,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
155A.T,情報戦略テクノロジー,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
156A.T,マテリアルグループ,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
157A.T,グリーンモンスター,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
1605.T,ＩＮＰＥＸ,JP,鉱業,エネルギー資源,鉱業,プライム（内国株式）
160A.T,アズパートナーズ,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
1662.T,石油資源開発,JP,鉱業,エネルギー資源,鉱業,プライム（内国株式）
1663.T,Ｋ＆Ｏエナジーグループ,JP,鉱業,エネルギー資源,鉱業,プライム（内国株式）
166A.T,タスキホールディングス,JP,不動産業,不動産,不動産業,プライム（内国株式）
167A.T,リョーサン菱洋ホールディングス,JP,卸売業,商社・卸売,卸売業,プライム（内国株式）
168A.T,イタミアート,JP,その他製品,情報通信・サービスその他,その他製品,グロース（内国株式）
1711.T,ＳＤＳホールディングス,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1716.T,第一カッター興業,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1717.T,明豊ファシリティワークス,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
1718.T,美樹工業,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1719.T,安藤・間,JP,建設業,建設・資材,建設業,プライム（内国株式）
1720.T,東急建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1721.T,コムシスホールディングス,JP,建設業,建設・資材,建設業,プライム（内国株式）
1723.T,日本電技,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1724.T,シンクレイヤ,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1736.T,オーテック,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
173A.T,ハンモック,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
1758.T,太洋基礎工業,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
175A.T,Ｗｉｌｌ Ｓｍａｒｔ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
1762.T,高松コンストラクショングループ,JP,建設業,建設・資材,建設業,プライム（内国株式）
1764.T,工藤建設,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1766.T,東建コーポレーション,JP,建設業,建設・資材,建設業,プライム（内国株式）
1768.T,ソネック,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1770.T,藤田エンジニアリング,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
177A.T,コージンバイオ,JP,化学,素材・化学,化学,グロース（内国株式）
1780.T,ヤマウラ,JP,建設業,建設・資材,建設業,プライム（内国株式）
1783.T,ｆａｎｔａｓｉｓｔａ,JP,不動産業,不動産,不動産業,スタンダード（内国株式）
1786.T,オリエンタル白石,JP,建設業,建設・資材,建設業,プライム（内国株式）
1787.T,ナカボーテック,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1788.T,三東工業社,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1793.T,大本組,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1795.T,マサル,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1798.T,守谷商会,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1799.T,第一建設工業,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1801.T,大成建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1802.T,大林組,JP,建設業,建設・資材,建設業,プライム（内国株式）
1803.T,清水建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1807.T,佐藤渡辺,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1808.T,長谷工コーポレーション,JP,建設業,建設・資材,建設業,プライム（内国株式）
1810.T,松井建設,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1811.T,錢高組,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1812.T,鹿島建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1813.T,不動テトラ,JP,建設業,建設・資材,建設業,プライム（内国株式）
1814.T,大末建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1815.T,鉄建建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1820.T,西松建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1822.T,大豊建設,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1826.T,佐田建設,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1827.T,ナカノフドー建設,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1828.T,田辺工業,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1833.T,奥村組,JP,建設業,建設・資材,建設業,プライム（内国株式）
1835.T,東鉄工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1840.T,土屋ホールディングス,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1844.T,大盛工業,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1847.T,イチケン,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1848.T,富士ピー・エス,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
184A.T,学びエイド,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
1850.T,南海辰村建設,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1852.T,淺沼組,JP,建設業,建設・資材,建設業,プライム（内国株式）
1853.T,森組,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1860.T,戸田建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1861.T,熊谷組,JP,建設業,建設・資材,建設業,プライム（内国株式）
1866.T,北野建設,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1867.T,植木組,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
186A.T,アストロスケールホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
1870.T,矢作建設工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1871.T,ピーエス・コンストラクション,JP,建設業,建設・資材,建設業,プライム（内国株式）
1873.T,日本ハウスホールディングス,JP,建設業,建設・資材,建設業,プライム（内国株式）
1878.T,大東建託,JP,不動産業,不動産,不動産業,プライム（内国株式）
1879.T,新日本建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1882.T,東亜道路工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1885.T,東亜建設工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1887.T,日本国土開発,JP,建設業,建設・資材,建設業,プライム（内国株式）
1888.T,若築建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1893.T,五洋建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
1897.T,金下建設,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1898.T,世紀東急工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1899.T,福田組,JP,建設業,建設・資材,建設業,プライム（内国株式）
189A.T,Ｄ＆Ｍカンパニー,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
1904.T,大成温調,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1905.T,テノックス,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1909.T,日本ドライケミカル,JP,機械,機械,機械,スタンダード（内国株式）
190A.T,Ｃｈｏｒｄｉａ Ｔｈｅｒａｐｅｕｔｉｃｓ,JP,医薬品,医薬品,医薬品,グロース（内国株式）
1911.T,住友林業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1914.T,日本基礎技術,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1921.T,巴コーポレーション,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1925.T,大和ハウス工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1926.T,ライト工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1928.T,積水ハウス,JP,建設業,建設・資材,建設業,プライム（内国株式）
1929.T,日特建設,JP,建設業,建設・資材,建設業,プライム（内国株式）
192A.T,インテグループ,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
1930.T,北陸電気工事,JP,建設業,建設・資材,建設業,プライム（内国株式）
1934.T,ユアテック,JP,建設業,建設・資材,建設業,プライム（内国株式）
1938.T,日本リーテック,JP,建設業,建設・資材,建設業,プライム（内国株式）
1939.T,四電工,JP,建設業,建設・資材,建設業,プライム（内国株式）
1941.T,中電工,JP,建設業,建設・資材,建設業,プライム（内国株式）
1942.T,関電工,JP,建設業,建設・資材,建設業,プライム（内国株式）
1944.T,きんでん,JP,建設業,建設・資材,建設業,プライム（内国株式）
1945.T,東京エネシス,JP,建設業,建設・資材,建設業,プライム（内国株式）
1946.T,トーエネック,JP,建設業,建設・資材,建設業,プライム（内国株式）
1948.T,弘電社,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
194A.T,ＷＯＬＶＥＳ ＨＡＮＤ,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
1950.T,日本電設工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1951.T,エクシオグループ,JP,建設業,建設・資材,建設業,プライム（内国株式）
1952.T,新日本空調,JP,建設業,建設・資材,建設業,プライム（内国株式）
1959.T,クラフティア,JP,建設業,建設・資材,建設業,プライム（内国株式）
195A.T,ＭＵＳＣＡＴ ＧＲＯＵＰ,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
1960.T,サンテック,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1961.T,三機工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1963.T,日揮ホールディングス,JP,建設業,建設・資材,建設業,プライム（内国株式）
1964.T,中外炉工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1965.T,テクノ菱和,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1966.T,高田工業所,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1967.T,ヤマト,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1968.T,太平電業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1969.T,高砂熱学工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
196A.T,ＭＦＳ,JP,その他金融業,金融（除く銀行）,その他金融業,グロース（内国株式）
1972.T,三晃金属工業,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1975.T,朝日工業社,JP,建設業,建設・資材,建設業,プライム（内国株式）
1976.T,明星工業,JP,建設業,建設・資材,建設業,プライム（内国株式）
1979.T,大氣社,JP,建設業,建設・資材,建設業,プライム（内国株式）
197A.T,タウンズ,JP,医薬品,医薬品,医薬品,スタンダード（内国株式）
1980.T,ダイダン,JP,建設業,建設・資材,建設業,プライム（内国株式）
1981.T,協和日成,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1982.T,日比谷総合設備,JP,建設業,建設・資材,建設業,プライム（内国株式）
198A.T,ＰｏｓｔＰｒｉｍｅ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
1992.T,神田通信機,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1994.T,高橋カーテンウォール工業,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1997.T,暁飯島工業,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
2001.T,ニップン,JP,食料品,食品,食料品,プライム（内国株式）
2002.T,日清製粉グループ本社,JP,食料品,食品,食料品,プライム（内国株式）
2003.T,日東富士製粉,JP,食料品,食品,食料品,スタンダード（内国株式）
2004.T,昭和産業,JP,食料品,食品,食料品,プライム（内国株式）
2009.T,鳥越製粉,JP,食料品,食品,食料品,スタンダード（内国株式）
2053.T,中部飼料,JP,食料品,食品,食料品,プライム（内国株式）
2055.T,日和産業,JP,食料品,食品,食料品,スタンダード（内国株式）
205A.T,ロゴスホールディングス,JP,建設業,建設・資材,建設業,グロース（内国株式）
2060.T,フィード・ワン,JP,食料品,食品,食料品,プライム（内国株式）
206A.T,ＰＲＩＳＭ ＢｉｏＬａｂ,JP,医薬品,医薬品,医薬品,グロース（内国株式）
208A.T,構造計画研究所ホールディングス,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2108.T,日本甜菜製糖,JP,食料品,食品,食料品,プライム（内国株式）
2109.T,ＤＭ三井製糖,JP,食料品,食品,食料品,プライム（内国株式）
2112.T,塩水港精糖,JP,食料品,食品,食料品,スタンダード（内国株式）
2114.T,フジ日本,JP,食料品,食品,食料品,スタンダード（内国株式）
2117.T,ウェルネオシュガー,JP,食料品,食品,食料品,プライム（内国株式）
211A.T,カドス・コーポレーション,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
2120.T,ＬＩＦＵＬＬ,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2121.T,ＭＩＸＩ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,プライム（内国株式）
2122.T,インタースペース,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2124.T,ジェイエイシーリクルートメント,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2127.T,日本Ｍ＆Ａセンターホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
212A.T,フィットイージー,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2130.T,メンバーズ,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2134.T,北浜キャピタルパートナーズ,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2136.T,ヒップ,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2138.T,クルーズ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2139.T,中広,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2146.T,ＵＴグループ,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2148.T,アイティメディア,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2152.T,幼児活動研究会,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2153.T,Ｅ・Ｊホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2154.T,オープンアップグループ,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2156.T,セーラー広告,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2157.T,コシダカホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2158.T,ＦＲＯＮＴＥＯ,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
215A.T,タイミー,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
2160.T,ジーエヌアイグループ,JP,医薬品,医薬品,医薬品,グロース（内国株式）
2162.T,ｎｍｓ ホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2163.T,アルトナー,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2164.T,地域新聞社,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2168.T,パソナグループ,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2169.T,ＣＤＳ,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2170.T,リンクアンドモチベーション,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2173.T,博展,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
2175.T,エス・エム・エス,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2179.T,成学社,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2180.T,サニーサイドアップグループ,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2181.T,パーソルホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2183.T,リニカル,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2185.T,シイエム・シイ,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2186.T,ソーバル,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
218A.T,Ｌｉｂｅｒａｗａｒｅ,JP,精密機器,電機・精密,精密機器,グロース（内国株式）
2193.T,クックパッド,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2195.T,アミタホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
2198.T,アイ・ケイ・ケイホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
219A.T,Ｈｅａｒｔｓｅｅｄ,JP,医薬品,医薬品,医薬品,グロース（内国株式）
2201.T,森永製菓,JP,食料品,食品,食料品,プライム（内国株式）
2204.T,中村屋,JP,食料品,食品,食料品,スタンダード（内国株式）
2206.T,江崎グリコ,JP,食料品,食品,食料品,プライム（内国株式）
2207.T,ｍｅｉｔｏ,JP,食料品,食品,食料品,プライム（内国株式）
2208.T,ブルボン,JP,食料品,食品,食料品,スタンダード（内国株式）
2209.T,井村屋グループ,JP,食料品,食品,食料品,プライム（内国株式）
220A.T,Ｆａｂｅｒ Ｃｏｍｐａｎｙ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2211.T,不二家,JP,食料品,食品,食料品,プライム（内国株式）
2212.T,山崎製パン,JP,食料品,食品,食料品,プライム（内国株式）
2215.T,第一屋製パン,JP,食料品,食品,食料品,スタンダード（内国株式）
2216.T,カンロ,JP,食料品,食品,食料品,スタンダード（内国株式）
2217.T,モロゾフ,JP,食料品,食品,食料品,プライム（内国株式）
2220.T,亀田製菓,JP,食料品,食品,食料品,プライム（内国株式）
2221.T,岩塚製菓,JP,食料品,食品,食料品,スタンダード（内国株式）
2222.T,寿スピリッツ,JP,食料品,食品,食料品,プライム（内国株式）
2224.T,コモ,JP,食料品,食品,食料品,スタンダード（内国株式）
2226.T,湖池屋,JP,食料品,食品,食料品,スタンダード（内国株式）
2229.T,カルビー,JP,食料品,食品,食料品,プライム（内国株式）
2264.T,森永乳業,JP,食料品,食品,食料品,プライム（内国株式）
2266.T,六甲バター,JP,食料品,食品,食料品,プライム（内国株式）
2267.T,ヤクルト本社,JP,食料品,食品,食料品,プライム（内国株式）
2268.T,Ｂ－Ｒ サーティワン アイスクリーム,JP,食料品,食品,食料品,スタンダード（内国株式）
2269.T,明治ホールディングス,JP,食料品,食品,食料品,プライム（内国株式）
2270.T,雪印メグミルク,JP,食料品,食品,食料品,プライム（内国株式）
2281.T,プリマハム,JP,食料品,食品,食料品,プライム（内国株式）
2282.T,日本ハム,JP,食料品,食品,食料品,プライム（内国株式）
2286.T,林兼産業,JP,食料品,食品,食料品,スタンダード（内国株式）
2288.T,丸大食品,JP,食料品,食品,食料品,プライム（内国株式）
228A.T,オプロ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
2291.T,福留ハム,JP,食料品,食品,食料品,スタンダード（内国株式）
2292.T,Ｓ Ｆｏｏｄｓ,JP,食料品,食品,食料品,プライム（内国株式）
2293.T,滝沢ハム,JP,食料品,食品,食料品,スタンダード（内国株式）
2294.T,柿安本店,JP,食料品,食品,食料品,プライム（内国株式）
2296.T,伊藤ハム米久ホールディングス,JP,食料品,食品,食料品,プライム（内国株式）
2300.T,きょくとう,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2301.T,学情,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2303.T,ドーン,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2304.T,ＣＳＳホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2305.T,スタジオアリス,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2307.T,クロスキャット,JP,情報・通信業,情報通信・サービスその他,情報・通信業,プライム（内国株式）
2311.T,エプコ,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2315.T,ＣＡＩＣＡ ＤＩＧＩＴＡＬ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2317.T,システナ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,プライム（内国株式）
2321.T,ソフトフロントホールディングス,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
2323.T,ｆｏｎｆｕｎ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2325.T,ＮＪＳ,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2326.T,デジタルアーツ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,プライム（内国株式）
2327.T,日鉄ソリューションズ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,プライム（内国株式）
2329.T,東北新社,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2330.T,フォーサイド,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2331.T,ＡＬＳＯＫ,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2332.T,クエスト,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2334.T,イオレ,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
2335.T,キューブシステム,JP,情報・通信業,情報通信・サービスその他,情報・通信業,プライム（内国株式）
2337.T,いちご,JP,不動産業,不動産,不動産業,プライム（内国株式）
2338.T,クオンタムソリューションズ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2340.T,極楽湯ホールディングス,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2341.T,アルバイトタイムス,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2342.T,トランスジェニックグループ,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2345.T,ＨＯＤＬ１,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2349.T,エヌアイデイ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2351.T,ＡＳＪ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2353.T,日本駐車場開発,JP,不動産業,不動産,不動産業,プライム（内国株式）
2354.T,ＹＥ ＤＩＧＩＴＡＬ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,スタンダード（内国株式）
2359.T,コア,JP,情報・通信業,情報通信・サービスその他,情報・通信業,プライム（内国株式）
2370.T,メディネット,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
2371.T,カカクコム,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2373.T,ケア２１,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2375.T,ギグワークス,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2376.T,サイネックス,JP,サービス業,情報通信・サービスその他,サービス業,スタンダード（内国株式）
2378.T,ルネサンス,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2379.T,ディップ,JP,サービス業,情報通信・サービスその他,サービス業,プライム（内国株式）
2384.T,ＳＢＳホールディングス,JP,陸運業,運輸・物流,陸運業,プライム（内国株式）
